origin_time,stop_time,stop_id,stop_name
2020-08-05 11:34:00,2020-08-05 11:34:30,142N,South Ferry
2020-08-05 11:34:00,2020-08-05 11:37:00,139N,Rector St
2020-08-05 11:34:00,2020-08-05 11:38:00,138N,WTC Cortlandt
2020-08-05 11:34:00,2020-08-05 11:39:00,137N,Chambers St
2020-08-05 11:34:00,2020-08-05 11:40:00,136N,Franklin St
2020-08-05 11:34:00,2020-08-05 11:41:00,135N,Canal St
2020-08-05 11:34:00,2020-08-05 11:43:00,134N,Houston St
2020-08-05 11:34:00,2020-08-05 11:44:30,133N,Christopher St - Sheridan Sq
2020-08-05 11:34:00,2020-08-05 11:46:00,132N,14 St
2020-08-05 11:34:00,2020-08-05 11:47:00,131N,18 St
2020-08-05 11:34:00,2020-08-05 11:48:00,130N,23 St
2020-08-05 11:34:00,2020-08-05 11:49:00,129N,28 St
2020-08-05 11:34:00,2020-08-05 11:50:00,128N,34 St - Penn Station
2020-08-05 11:34:00,2020-08-05 11:51:30,127N,Times Sq - 42 St
2020-08-05 11:34:00,2020-08-05 11:53:30,126N,50 St
2020-08-05 11:34:00,2020-08-05 11:55:30,125N,59 St - Columbus Circle
2020-08-05 11:34:00,2020-08-05 11:57:00,124N,66 St - Lincoln Center
2020-08-05 11:34:00,2020-08-05 11:58:00,123N,72 St
2020-08-05 11:34:00,2020-08-05 12:00:00,122N,79 St
2020-08-05 11:34:00,2020-08-05 12:01:00,121N,86 St
2020-08-05 11:34:00,2020-08-05 12:03:00,120N,96 St
2020-08-05 11:34:00,2020-08-05 12:04:30,119N,103 St
2020-08-05 11:34:00,2020-08-05 12:06:00,118N,Cathedral Pkwy
2020-08-05 11:34:00,2020-08-05 12:07:00,117N,116 St - Columbia University
2020-08-05 11:34:00,2020-08-05 12:09:30,116N,125 St
2020-08-05 11:34:00,2020-08-05 12:11:30,115N,137 St - City College
2020-08-05 11:34:00,2020-08-05 12:13:00,114N,145 St
2020-08-05 11:34:00,2020-08-05 12:15:00,113N,157 St
2020-08-05 11:34:00,2020-08-05 12:16:30,112N,168 St - Washington Hts
2020-08-05 11:34:00,2020-08-05 12:18:30,111N,181 St
2020-08-05 11:34:00,2020-08-05 12:20:00,110N,191 St
2020-08-05 11:34:00,2020-08-05 12:21:00,109N,Dyckman St
2020-08-05 11:34:00,2020-08-05 12:22:30,108N,207 St
2020-08-05 11:34:00,2020-08-05 12:24:00,107N,215 St
2020-08-05 11:34:00,2020-08-05 12:25:30,106N,Marble Hill - 225 St
2020-08-05 11:34:00,2020-08-05 12:27:00,104N,231 St
2020-08-05 11:34:00,2020-08-05 12:28:30,103N,238 St
2020-08-05 11:34:00,2020-08-05 12:32:30,101N,Van Cortlandt Park - 242 St
